L 08/13/2021 - 00:02:32: SourceMod log file session started (file "/home/k26606_s20329/server_20329/left4dead2/addons/sourcemod/logs/L20210813.log") (Version "1.10.0.6494")
L 08/13/2021 - 00:02:32: [optional/l4d2lib.smx] [MI] MapInfo for dm1_suburbs is missing.
L 08/13/2021 - 00:02:32: [confoglcompmod.smx] [MI] MapInfo for dm1_suburbs is missing.
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "30000")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "confogl_match_execcfg_plugins") (value "generalfixes.cfg;confogl_plugins.cfg;sharedplugins.cfg")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_addons_eclipse") (value "0")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allow_wait_command") (value "0")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "67000")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_update_frequency") (value "0.03")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_min_interp_ratio") (value "0")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_max_interp_ratio") (value "2")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "200")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mv_maxplayers") (value "16")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxplayers") (value "16")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allowdownload") (value "1")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_joininfected") (value "1")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_joinsurvivors") (value "1")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_kill") (value "0")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_spectate") (value "1")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_message") (value "0")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_timerrepeat") (value "9999")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "vs_max_team_switches") (value "9999")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mp_autoteambalance") (value "0")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_unlag_fixstuck") (value "1")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_brawl_chance") (value "0")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxunlag") (value "1")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_forcepreload") (value "1")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_predict") (value "1")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_cmdrate_difference") (value "0")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec_global") (value "10")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec") (value "3")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_window") (value "10")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_player_stuck_tolerance") (value "5")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_stats") (value "0")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_clockcorrection_msecs") (value "25")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_max_neighbor_range") (value "16")
L 08/13/2021 - 00:02:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_friction_forward") (value "0")
L 08/13/2021 - 00:03:04: SourceMod log file session started (file "/home/k26606_s20329/server_20329/left4dead2/addons/sourcemod/logs/L20210813.log") (Version "1.10.0.6494")
L 08/13/2021 - 00:03:04: [fixes/firebulletsfix.smx] Found offset for Weapon_ShootPosition 286
L 08/13/2021 - 00:03:05: [navmesh.smx] Found .NAV file in maps\c1m1_hotel.nav
L 08/13/2021 - 00:03:05: [navmesh.smx] Is mesh analyzed: 1
L 08/13/2021 - 00:03:05: [navmesh.smx] Nav version: 16; SubVersion: 14 (v10+); BSPSize: 32807960; MagicNumber: -17958194
L 08/13/2021 - 00:03:05: [navmesh.smx] Place count: 0
L 08/13/2021 - 00:03:05: [navmesh.smx] Has unnamed areas: true
L 08/13/2021 - 00:03:05: [navmesh.smx] Population type: c1streets
L 08/13/2021 - 00:03:05: [navmesh.smx] Area count: 1582
L 08/13/2021 - 00:03:05: [navmesh.smx] Parsed 1582 areas in 0.020995 seconds.
L 08/13/2021 - 00:03:05: [navmesh.smx] Ladder count: 0
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "30000")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "30000")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "confogl_match_execcfg_plugins") (value "generalfixes.cfg;confogl_plugins.cfg;sharedplugins.cfg")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_addons_eclipse") (value "0")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allow_wait_command") (value "0")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "67000")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_update_frequency") (value "0.03")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_min_interp_ratio") (value "0")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_max_interp_ratio") (value "2")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "200")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mv_maxplayers") (value "16")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxplayers") (value "16")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allowdownload") (value "1")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "vs_max_team_switches") (value "9999")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mp_autoteambalance") (value "0")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_unlag_fixstuck") (value "1")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_brawl_chance") (value "0")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxunlag") (value "1")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_forcepreload") (value "1")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_predict") (value "1")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_cmdrate_difference") (value "0")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec_global") (value "10")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec") (value "3")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_window") (value "10")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_player_stuck_tolerance") (value "5")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_stats") (value "0")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_clockcorrection_msecs") (value "25")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_max_neighbor_range") (value "16")
L 08/13/2021 - 00:03:05: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_friction_forward") (value "0")
L 08/13/2021 - 00:03:05: [fixes/firebulletsfix.smx] Found offset for Weapon_ShootPosition 286
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "30000")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "30000")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 00:03:06: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 08/13/2021 - 00:03:09: -------- Mapchange to c1m1_hotel --------
L 08/13/2021 - 00:03:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "30000")
L 08/13/2021 - 00:03:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 00:03:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 00:03:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 00:03:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 00:03:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 00:03:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 00:03:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 08/13/2021 - 00:03:10: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "confogl_match_execcfg_plugins") (value "generalfixes.cfg;confogl_plugins.cfg;sharedplugins.cfg")
L 08/13/2021 - 00:03:10: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_addons_eclipse") (value "0")
L 08/13/2021 - 00:03:10: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allow_wait_command") (value "0")
L 08/13/2021 - 00:03:10: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "67000")
L 08/13/2021 - 00:03:10: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
